preference,radius,percent_hetero,segregation,num_steps,city_size
0.2,3,0.2,0.5566163426498121,10000,50
0.2,3,0.2,0.5583331720576726,10000,50
0.2,3,0.30000000000000004,0.5487534673630912,10000,50
0.2,3,0.30000000000000004,0.5506255704090111,10000,50
0.2,3,0.30000000000000004,0.5529935766788513,10000,50
0.2,3,0.30000000000000004,0.553091266099181,10000,50
0.2,3,0.30000000000000004,0.5569579727432198,10000,50
0.2,3,0.4,0.5397488892929059,10000,50
0.2,3,0.4,0.5479458162796358,10000,50
0.2,3,0.4,0.548283649733106,10000,50
0.2,3,0.4,0.5513399131130158,10000,50
0.2,3,0.4,0.5547062331864304,10000,50
0.2,3,0.5,0.5440596974562657,10000,50
0.2,3,0.5,0.5488910025276319,10000,50
0.2,3,0.5,0.5530294353132696,10000,50
0.2,3,0.5,0.5534499897888563,10000,50
0.2,3,0.5,0.561506687727029,10000,50
0.2,3,0.6000000000000001,0.547950545469696,10000,50
0.2,3,0.6000000000000001,0.5491168147156235,10000,50
0.2,3,0.6000000000000001,0.5494644503434826,10000,50
0.2,3,0.6000000000000001,0.5506651920431164,10000,50
0.2,3,0.6000000000000001,0.5515824638166756,10000,50
0.2,3,0.7000000000000001,0.5492227873916364,10000,50
0.2,3,0.7000000000000001,0.5497703462412313,10000,50
0.2,3,0.7000000000000001,0.5520583519899881,10000,50
0.2,3,0.7000000000000001,0.552479029262492,10000,50
0.2,3,0.7000000000000001,0.5532800369840745,10000,50
0.2,3,0.8,0.5456371626209598,10000,50
0.2,3,0.8,0.5478836689093499,10000,50
0.2,3,0.8,0.5482508982506553,10000,50
0.2,3,0.8,0.549324149164277,10000,50
0.2,3,0.8,0.5523044390883044,10000,50
0.2,3,0.9,0.5444010832766641,10000,50
0.2,3,0.9,0.5447909834145156,10000,50
0.2,3,0.9,0.5476849351795361,10000,50
0.2,3,0.9,0.5500157390589548,10000,50
0.2,3,0.9,0.5503419629209426,10000,50
0.2,4,0.0,0.5471888986484353,0,50
0.2,4,0.0,0.5490637472108076,0,50
0.2,4,0.0,0.5511808178666213,0,50
0.2,4,0.0,0.5525198545825205,0,50
0.2,4,0.0,0.5556704539785731,4,50
0.2,4,0.1,0.5438375004315198,10000,50
0.2,4,0.1,0.5485041558058205,10000,50
0.2,4,0.1,0.5489459468753092,10000,50
0.2,4,0.1,0.5493965961938967,10000,50
0.2,4,0.1,0.5505534945251941,10000,50
0.2,4,0.2,0.5426336360066131,10000,50
0.2,4,0.2,0.5455616033515351,10000,50
0.2,4,0.2,0.5459218182615143,10000,50
0.2,4,0.2,0.548246462885316,10000,50
0.2,4,0.2,0.5494186259682964,10000,50
0.2,4,0.30000000000000004,0.5487761513332218,10000,50
0.2,4,0.30000000000000004,0.5491956875349211,10000,50
0.2,4,0.30000000000000004,0.5494620529687357,10000,50
0.2,4,0.30000000000000004,0.5501642186407524,10000,50
0.2,4,0.30000000000000004,0.5508795769719746,10000,50
0.2,4,0.4,0.5469241879371194,10000,50
0.2,4,0.4,0.5487020382477512,10000,50
0.2,4,0.4,0.5503728732133639,10000,50
0.2,4,0.4,0.550964253510046,10000,50
0.2,4,0.4,0.5555331358083888,10000,50
0.2,4,0.5,0.5472964752832092,10000,50
0.2,4,0.5,0.5498146298043248,10000,50
0.2,4,0.5,0.55136878318678,10000,50
0.2,4,0.5,0.5520680655145681,10000,50
0.2,4,0.5,0.5579824132302409,10000,50
0.2,4,0.6000000000000001,0.5451606605747922,10000,50
0.2,4,0.6000000000000001,0.547143689298662,10000,50
0.2,4,0.6000000000000001,0.5497801802519969,10000,50
0.2,4,0.6000000000000001,0.5547983394901969,10000,50
0.2,4,0.6000000000000001,0.5559788308549185,10000,50
0.2,4,0.7000000000000001,0.5434823739940206,10000,50
0.2,4,0.7000000000000001,0.549733686696184,10000,50
0.2,4,0.7000000000000001,0.5498260512375243,10000,50
0.2,4,0.7000000000000001,0.5508419403572014,10000,50
0.2,4,0.7000000000000001,0.5509813806251715,10000,50
0.2,4,0.8,0.5463180831995245,10000,50
0.2,4,0.8,0.5477827113175994,10000,50
0.2,4,0.8,0.5486891046676929,10000,50
0.2,4,0.8,0.549304600436694,10000,50
0.2,4,0.8,0.5524123388595003,10000,50
0.2,4,0.9,0.5487051413704671,10000,50
0.2,4,0.9,0.5532739882276098,10000,50
0.2,4,0.9,0.5539958129713636,10000,50
0.2,4,0.9,0.5540206613376084,10000,50
0.2,4,0.9,0.558563044660078,10000,50
0.2,5,0.0,0.5451314087321217,0,50
0.2,5,0.0,0.5467711473584879,0,50
0.2,5,0.0,0.5525518006465054,0,50
